genero;pais;origen_capital;puesto;funcion;anios_empresa;sueldo_bruto;sueldo_dolar;satisfaccion;busqueda;anio
Masculino;Argentina;Multinacional;HRBP;Generalista;6;156000;1859.5780188341876;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Reclutamiento y selección;2;45000;536.4167362021695;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Generalista;22;65000;774.8241745142449;NA;NA;2020
Femenino;Argentina;Multinacional;Gerente;Generalista;20;290000;3456.907855525092;5;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Comunicación interna;10;78000;929.7890094170938;NA;NA;2020
Femenino;Argentina;Multinacional;Analista;Reclutamiento y selección;2;66000;786.7445464298486;5;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Gerente;Generalista;15;186000;2217.1891763023004;NA;NA;2020
Femenino;Argentina;Multinacional;Analista;Capacitación y desarrollo;6;59800;712.8382405531053;4;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Jefe;Compensaciones y beneficios;5;270000;3218.500417213017;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Multinacional;HRBP;Generalista;8;101000;1203.9575634759804;2;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Jefe;Generalista;12;182000;2169.5076886398856;NA;NA;2020
Masculino;Argentina;Nacional;Analista;Administración de personal;5;90000;1072.833472404339;4;No,  pero escucho ofertas;2020
